id,title,text
12,Anarchism,48662
25,Autism,48093
39,Albedo,20461
290,A,11624
303,Alabama,86427
305,Achilles,47964
307,Abraham Lincoln,87947
308,Aristotle,72395
309,An American in Paris,11139
316,Academy Award for Best Production Design,42773
324,Academy Awards,47589
330,Actrius,2608
332,Animalia (book),2487
334,International Atomic Time,7332
336,Altruism,44497
339,Ayn Rand,48209
340,Alain Connes,3363
344,Allan Dwan,7914
358,Algeria,72952
359,List of Atlas Shrugged characters,29179
569,Anthropology,50977
572,Agricultural science,6765
573,Alchemy,56160
579,Alien,4292
580,Astronomer,5342
586,ASCII,35970
590,Austin (disambiguation),1930
593,Animation,39463
594,Apollo,112183
595,Andre Agassi,56049
597,Austroasiatic languages,26079
599,Afroasiatic languages,39401
600,Andorra,57477
612,Arithmetic mean,9113
615,American Football Conference,8911
620,Animal Farm,42338
621,Amphibian,78989
624,Alaska,76463
627,Agriculture,52334
628,Aldous Huxley,27615
630,Ada,3267
632,Aberdeen (disambiguation),6118
633,Algae,34996
634,Analysis of variance,33413
639,Alkane,46730
640,Appellate procedure in the United States,22479
642,Answer (law),1691
643,Appellate court,6413
649,Arraignment,6670
651,America the Beautiful,11273
653,Assistive technology,32118
655,Abacus,24180
656,Acid,33486
657,Asphalt,49776
659,American National Standards Institute,11265
661,Argument (disambiguation),1493
662,Apollo 11,72975
663,Apollo 8,48794
664,Astronaut,29804
665,A Modest Proposal,17588
666,Alkali metal,105905
670,Alphabet,32954
673,Atomic number,11209
674,Anatomy,42199
675,Affirming the consequent,5086
676,Andrei Tarkovsky,36912
677,Ambiguity,25046
678,Abel,3141
679,Animal (disambiguation),5581
680,Aardvark,20323
681,Aardwolf,12047
682,Adobe,15588
683,Adventure,4772
689,Asia,47431
690,Aruba,31987
691,Articles of Confederation,43382
694,Asia Minor (disambiguation),405
698,Atlantic Ocean,53916
700,Arthur Schopenhauer,88939
701,Angola,65575
704,Demographics of Angola,10971
705,Politics of Angola,7789
706,Economy of Angola,19070
708,Transport in Angola,2399
709,Angolan Armed Forces,13158
710,Foreign relations of Angola,16127
711,Albert Sidney Johnston,29358
713,Android (robot),17847
717,Alberta,67485
728,List of anthropologists,5112
734,Actinopterygii,18401
736,Albert Einstein,82209
737,Afghanistan,88739
738,Albania,102157
740,Allah,19881
742,Algorithms (journal),922
746,Azerbaijan,84104
748,Amateur astronomy,23273
751,Aikido,28175
752,Art,59473
764,Agnostida,3516
765,Abortion,50009
766,Abstract (law),2213
771,American Revolutionary War,121277
772,Ampere,5069
775,Algorithm,71994
777,Annual plant,4030
779,Anthophyta,946
780,Atlas (disambiguation),9879
782,Mouthwash,25115
783,Alexander the Great,89522
784,Alfred Korzybski,9492
785,Asteroids (video game),18721
786,Asparagales,33957
787,Alismatales,5390
788,Apiales,2589
789,Asterales,5899
791,Asteroid,47030
794,Allocution,2622
795,Affidavit,6974
798,Aries (constellation),23851
799,Aquarius (constellation),17142
800,Anime,33281
801,Asterism,262
802,Ankara,59966
803,Arabic,102237
808,Alfred Hitchcock,79675
809,Anaconda,3861
824,Altaic languages,37198
825,Austrian German,12951
840,Axiom of choice,35826
841,Attila,30206
842,Aegean Sea,28209
843,A Clockwork Orange (novel),30531
844,Amsterdam,84019
846,Museum of Work,3804
848,Audi,68238
849,Aircraft,32665
851,Alfred Nobel,14908
852,Alexander Graham Bell,67194
854,Anatolia,34074
856,Apple Inc.,124619
857,Aberdeenshire,16084
859,Aztlan Underground,3367
863,American Civil War,110775
864,Andy Warhol,61718
868,Alp Arslan,9919
869,American Film Institute,10828
872,Akira Kurosawa,70582
874,Ancient Egypt,80059
875,Analog Brothers,2129
876,Motor neuron disease,10735
877,Abjad,12096
878,Abugida,23950
880,ABBA,94271
881,Allegiance,12931
885,Altenberg,1501
887,MessagePad,23728
888,A. E. van Vogt,27210
890,Anna Kournikova,23862
892,Alfons Maria Jakob,2858
894,Agnosticism,23050
896,Argon,18859
897,Arsenic,52457
898,Antimony,29163
899,Actinium,19515
900,Americium,35371
901,Astatine,33088
902,Atom,55187
903,Arable land,11212
904,Aluminium,54503
905,Advanced Chemistry,8312
909,Anglican Communion,27786
910,Arne Kaijser,1096
911,Archipelago,3696
914,Author,15301
915,Andrey Markov,5844
921,Angst,3839
922,Anxiety,33045
924,A. A. Milne,21693
925,Asociación Alumni,3395
928,Axiom,24409
929,Alpha,5459
930,Alvin Toffler,16131
931,The Amazing Spider-Man,44254
933,AM,2857
951,Antigua and Barbuda,24121
953,Azincourt,3509
954,Albert Speer,50105
956,Asteraceae,20954
957,Apiaceae,10007
958,Axon,30236
960,Aramaic alphabet,11827
966,American shot,1544
967,Acute disseminated encephalomyelitis,16050
969,Ataxia,21966
974,Ada Lovelace,35398
980,August Derleth,24391
981,Alps,64303
983,Albert Camus,36669
984,Agatha Christie,61622
986,The Plague,24163
988,Applied ethics,5570
991,Absolute value,15757
993,Analog signal,3207
994,Arecales,1225
1000,Hercule Poirot,43002
1002,Miss Marple,19648
1004,April,19894
1005,August,15566
1006,Aaron,23834
1008,April 6,30683
1009,April 12,28341
1010,April 15,28050
1011,April 30,25890
1012,August 22,27195
1013,August 27,27783
1014,Alcohol,18807
1016,Achill Island,22591
1017,Allen Ginsberg,59616
1018,Algebraically closed field,9002
1019,August 6,24247
1020,Anatoly Karpov,21634
1021,Aspect ratio,3784
1022,Auto racing,34543
1023,Anarcho-capitalism,57726
1027,August 9,25557
1028,Aristophanes,56904
1029,Albert Schweitzer,44817
1030,Austrian School,29182
1032,Abscess,12800
1036,Aalborg Municipality,4853
1038,Aarhus,79601
1043,Northern cavefish,922
1046,Abatement,1204
1049,Amateur,5150
1051,Alexis Carrel,21611
1055,All Souls' Day,16615
1057,Anatole France,8937
1058,André Gide,15429
1063,Algorithms for calculating variance,16821
1064,Almond,27594
1069,Demographics of Antigua and Barbuda,8364
1070,Politics of Antigua and Barbuda,5142
1072,Telecommunications in Antigua and Barbuda,2640
1074,Royal Antigua and Barbuda Defence Force,2729
1078,Antisemitism,124982
1081,Economy of Azerbaijan,24939
1082,Geography of Azerbaijan,9359
1087,Foreign relations of Azerbaijan,38779
1088,Azerbaijani Armed Forces,37484
1091,Geography of Armenia,6092
1092,Demographics of Armenia,17829
1093,Politics of Armenia,8873
1094,Economy of Armenia,66750
1096,Transport in Armenia,9961
1097,Armed Forces of Armenia,32511
1098,Foreign relations of Armenia,68072
1110,Demographics of American Samoa,4486
1111,Politics of American Samoa,3364
1112,Economy of American Samoa,4278
1129,August 13,24976
1130,Avicenna,53862
1132,The Ashes,52060
1134,Analysis,15258
1135,Abner Doubleday,16845
1136,America's National Game,943
1140,Amplitude modulation,27537
1141,Augustin-Jean Fresnel,127489
1143,Abbot,27272
1144,Ardipithecus,15010
1146,Assembly line,18488
1148,Adelaide,70866
1152,Alan Garner,23555
1154,August 2,28024
1155,Atlantic (disambiguation),3923
1158,Algebraic number,7754
1160,Automorphism,8211
1162,Accordion,39063
1164,Artificial intelligence,59772
1166,Afro Celt Sound System,9787
1167,Ancient philosophy,20980
1168,Anaximander,30864
1169,APL,2377
1170,Architect,18714
1171,Abbreviation,21720
1174,Aphrodite,58502
1175,April 1,25373
1176,Antisymmetric relation,1954
1177,Aleister Crowley,71977
1178,Afterlife,65506
1181,Astrometry,9659
1182,Athena,52347
1183,Amber Diceless Roleplaying Game,18097
1184,Athene (disambiguation),847
1187,Alloy,33967
1192,Artistic revolution,7822
1193,Agrarianism,27131
1194,Atomic,1246
1196,Angle,30125
1197,Asa,1315
1198,Acoustics,21801
1200,Atomic physics,5842
1201,American Sign Language,33558
1202,Applet,5804
1203,Alternate history,51501
1206,Atomic orbital,52443
1207,Amino acid,35223
1208,Alan Turing,49653
1209,Area,25667
1210,Astronomical unit,24439
1212,Artist,5910
1213,Actaeon,15555
1214,Anglicanism,90301
1216,Athens,76996
1217,Anguilla,23289
1223,Telecommunications in Anguilla,2570
1227,Ashmore and Cartier Islands,7813
1234,Acoustic theory,4154
1235,Alexander Mackenzie (politician),19363
1239,Ashoka,85987
1241,American (word),18055
1242,Ada (programming language),29947
1247,Alfonso Cuarón,11919
1252,Arianism,33782
1254,August 1,33616
1256,Antoninus Pius,35278
1259,August 3,26747
1260,Advanced Encryption Standard,21754
1261,April 26,24076
1264,Anisotropy,13276
1267,Alpha decay,13457
1270,Extreme poverty,39272
1271,Analytical Engine,17543
1273,Augustus,93571
1274,Geography of Antarctica,13233
